GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,IND,2002,2002,India,,Yes,,,,,,
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,Yes,,,,,,
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,Yes,,,,,,
IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,Yes,,,,,,
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,Not tested/reported,,,,,,
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,Not tested/reported,,,,,,
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,Not tested/reported,,,,,,
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,Yes,,,,,,
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,Yes,,,,,,
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,Yes,,,,,,
IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,IND,2001,2001,India,,Yes,,,,,,
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,IND,2008,2008,India,,Not tested/reported,,,,,,
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,IND,2007,2007,India,,Yes,,,,,,
IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,Yes,,,,,,
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,Not tested/reported,,,,,,
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,IND,2006,2006,India,,Yes,,,,,,
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,Yes,,,,,,
IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,IND,2006,2006,India,,Yes,,,,,,
IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,IND,2007,2007,India,,Yes,,,,,,
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2003,2003,,SEAR,South-East Asia,,IND,2003,2003,India,,Not tested/reported,,,,,,
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,IND,2008,2008,India,,Not tested/reported,,,,,,
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,Not tested/reported,,,,,,
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,IND,2007,2007,India,,Yes,,,,,,
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,IND,2002,2002,India,,Yes,,,,,,
IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,IND,2002,2002,India,,Yes,,,,,,
IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,IND,2004,2004,India,,Yes,,,,,,
IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,Yes,,,,,,
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,2000,2000,India,,Not tested/reported,,,,,,
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,2000,2000,India,,Not tested/reported,,,,,,
IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4560,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,IND,2004,2004,India,,Not tested/reported,,,,,,
IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,Not tested/reported,,,,,,
IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4560,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,2000,2000,India,,Not tested/reported,,,,,,
IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4560,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,Not tested/reported,,,,,,
